Номер заказа,Дата заказа,Дата доставки,Код для получения,Статус заказа,Адрес пункта выдачи,ФИО авторизированного клиента
1,2025-02-27,2025-04-20,901,Завершен,125061,1
2,2022-09-28,2025-04-21,902,Завершен,344288,2
3,2025-03-21,2025-04-22,903,Завершен,394060,3
4,2025-02-20,2025-04-23,904,Завершен,394242,4
5,2025-03-17,2025-04-24,905,Завершен,394782,5
6,2025-03-01,2025-04-25,906,Завершен,400562,6
7,2025-03-21,2025-04-26,907,Завершен,410172,7
8,2025-03-31,2025-04-27,908,Новый,410542,8
9,2025-04-02,2025-04-28,909,Новый,410661,9
10,2025-04-03,2025-04-29,910,Новый,420151,10
